"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.000000,-0.252338,0.062002,-1.162098,-0.006742,0.012638,0.003331,0.003163,-0.903230
0.000500,-0.250372,0.061174,-1.158411,-0.006087,0.013061,0.003367,0.002838,-0.323074
0.001000,-0.268402,0.048259,-1.154502,-0.006334,0.012785,0.003410,0.002514,-0.118122
0.001500,-0.248345,0.052827,-1.141572,-0.006130,0.012776,0.003392,0.001866,-0.040616
0.002000,-0.244327,0.064568,-1.151772,-0.006072,0.012748,0.003368,0.003163,-0.016295
0.002500,-0.236428,0.057206,-1.153204,-0.006308,0.012710,0.003030,0.002838,-0.003972
0.003000,-0.238331,0.079945,-1.148499,-0.005991,0.013313,0.003436,0.003811,-0.000729
0.003500,-0.246302,0.082518,-1.161184,-0.005786,0.013246,0.003547,0.002514,-0.001702
0.004000,-0.252299,0.071617,-1.151349,-0.006499,0.012960,0.003535,0.002838,0.001217
0.004500,-0.226257,0.072235,-1.146187,-0.006701,0.012373,0.003258,0.001866,-0.000404
0.005000,-0.256463,0.064519,-1.152206,-0.006304,0.012903,0.003196,0.004460,-0.001053
0.005500,-0.264421,0.038838,-1.137867,-0.006196,0.012818,0.003383,0.003811,0.003163
0.006000,-0.246349,0.056349,-1.138289,-0.006112,0.012873,0.003395,0.003487,0.000893
0.006500,-0.230338,0.086830,-1.162647,-0.006058,0.013157,0.003270,0.002190,0.003811
0.007000,-0.238292,0.060909,-1.152044,-0.006283,0.012718,0.003368,0.003163,0.002514
0.007500,-0.244332,0.080855,-1.131807,-0.006639,0.013242,0.003488,0.003487,0.000244
0.008000,-0.256384,0.057616,-1.124485,-0.006378,0.013372,0.003536,0.001866,0.003811
0.008500,-0.280478,0.057706,-1.171376,-0.006611,0.013047,0.003352,0.003163,-0.000729
0.009000,-0.248337,0.071434,-1.168915,-0.006508,0.012554,0.003279,0.002838,0.002190
0.009500,-0.258457,0.056302,-1.155514,-0.006440,0.012975,0.003220,0.002838,0.002190
0.010000,-0.260326,0.036408,-1.144423,-0.006539,0.012827,0.003521,0.002838,-0.000404
0.010500,-0.248300,0.060043,-1.164779,-0.006094,0.012994,0.003479,0.003487,0.002838
0.011000,-0.240428,0.057501,-1.162740,-0.005975,0.012977,0.003117,0.003163,0.001541
0.011500,-0.240405,0.057305,-1.146029,-0.006442,0.013036,0.003200,0.003163,0.002190
0.012000,-0.238374,0.074731,-1.119195,-0.007003,0.013407,0.003376,0.002514,0.003163
0.012500,-0.254394,0.068164,-1.155101,-0.006283,0.013110,0.003368,0.001866,0.000568
0.013000,-0.256435,0.066978,-1.155292,-0.006336,0.013206,0.003311,0.002514,0.003487
0.013500,-0.240349,0.076017,-1.142345,-0.006391,0.012558,0.003258,0.002190,0.001217
0.014000,-0.258349,0.046935,-1.144664,-0.006439,0.012728,0.003441,0.003163,0.001217
0.014500,-0.264401,0.040925,-1.131447,-0.006795,0.012796,0.003408,0.003163,0.002190
0.015000,-0.246426,0.058737,-1.148877,-0.006102,0.013204,0.003257,0.002838,-0.001377
0.015500,-0.238262,0.075333,-1.164929,-0.006063,0.013344,0.003546,0.003163,0.003811
0.016000,-0.242183,0.070745,-1.177642,-0.005898,0.012926,0.003652,0.002514,0.001866
0.016500,-0.242074,0.068204,-1.174016,-0.006613,0.012961,0.003873,0.003163,-0.000729
0.017000,-0.244269,0.050524,-1.168467,-0.006614,0.013367,0.003534,0.001866,0.004136
0.017500,-0.268286,0.069473,-1.184303,-0.006880,0.013280,0.003668,0.002190,0.000244
0.018000,-0.254320,0.068205,-1.164726,-0.006190,0.012778,0.003449,0.002514,0.003163
0.018500,-0.264430,0.057670,-1.137886,-0.006330,0.013226,0.003447,0.002838,0.003163
0.019000,-0.246336,0.037282,-1.128611,-0.006822,0.012970,0.003415,0.003487,-0.000080
0.019500,-0.254455,0.044835,-1.168808,-0.006079,0.013422,0.003251,0.002190,0.002514
0.020000,-0.250423,0.065814,-1.135074,-0.006060,0.013167,0.003343,0.002514,0.000244
0.020500,-0.236346,0.050439,-1.121780,-0.005911,0.012953,0.003371,0.002838,0.002514
0.021000,-0.224213,0.059938,-1.172220,-0.006152,0.013382,0.003490,0.002190,0.002190
0.021500,-0.240344,0.050470,-1.189477,-0.006576,0.013429,0.003282,0.001866,-0.000404
0.022000,-0.248420,0.073825,-1.142323,-0.006631,0.013352,0.003316,0.003163,0.003487
0.022500,-0.256382,0.055340,-1.131099,-0.006156,0.013233,0.003507,0.002514,0.001541
0.023000,-0.266520,0.051757,-1.128271,-0.006407,0.013488,0.003335,0.002838,0.001866
0.023500,-0.254457,0.046899,-1.152299,-0.006351,0.012982,0.003191,0.002190,0.002838
0.024000,-0.246349,0.056545,-1.161726,-0.005972,0.013176,0.003397,0.003811,-0.000404
0.024500,-0.252475,0.053171,-1.138261,-0.005608,0.013483,0.003316,0.002514,0.001866
0.025000,-0.236240,0.057702,-1.134389,-0.005870,0.013170,0.003627,0.003487,0.000568
0.025500,-0.224245,0.064466,-1.148956,-0.006314,0.013326,0.003463,0.003487,-0.001377
0.026000,-0.240405,0.059667,-1.146033,-0.006523,0.013201,0.003229,0.002190,0.002514
0.026500,-0.250369,0.060883,-1.128450,-0.006742,0.013231,0.003451,0.003811,0.000244
0.027000,-0.258503,0.068117,-1.121758,-0.006184,0.013240,0.003286,0.003163,0.002838
0.027500,-0.260528,0.055286,-1.125086,-0.006063,0.013311,0.003254,0.001866,0.001541
0.028000,-0.234451,0.032313,-1.116563,-0.006576,0.012681,0.003024,0.002514,0.000244
0.028500,-0.236459,0.043247,-1.126101,-0.006094,0.013097,0.003116,0.002190,0.003811
0.029000,-0.252428,0.031732,-1.124905,-0.005956,0.012860,0.003303,0.002838,0.000893
0.029500,-0.238387,0.065810,-1.128551,-0.005830,0.013233,0.003350,0.003163,0.001217
0.030000,-0.218362,0.065640,-1.143035,-0.005844,0.013342,0.003188,0.001866,0.002838
0.030500,-0.222383,0.058305,-1.163821,-0.006404,0.012962,0.003008,0.002514,-0.000729
0.031000,-0.238361,0.060910,-1.132191,-0.006419,0.013297,0.003373,0.002838,0.002514
0.031500,-0.242452,0.061020,-1.115403,-0.006040,0.013370,0.003291,0.003163,0.000568
0.032000,-0.256500,0.045762,-1.132103,-0.006305,0.013240,0.003222,0.002514,0.001217
0.032500,-0.226311,0.041689,-1.119463,-0.006623,0.012521,0.003224,0.002838,0.001866
0.033000,-0.248530,0.052786,-1.132544,-0.005899,0.013022,0.003059,0.003487,-0.002026
0.033500,-0.248474,0.048080,-1.125556,-0.006295,0.013413,0.003256,0.003163,0.003163
0.034000,-0.236374,0.066904,-1.132066,-0.005920,0.013113,0.003321,0.002838,0.000568
0.034500,-0.232321,0.064729,-1.165580,-0.005936,0.013479,0.003379,0.002514,-0.000080
0.035000,-0.236384,0.054914,-1.152906,-0.006458,0.012960,0.003171,0.002838,0.003163
0.035500,-0.234255,0.060822,-1.145402,-0.006564,0.012918,0.003454,0.003811,-0.000080
0.036000,-0.254352,0.051833,-1.147940,-0.006225,0.013253,0.003505,0.002190,0.002838
0.036500,-0.258396,0.051548,-1.134959,-0.006695,0.013060,0.003416,0.002190,0.000244
0.037000,-0.234311,0.058415,-1.155944,-0.006441,0.012671,0.003255,0.002838,-0.001377
0.037500,-0.254464,0.051569,-1.148961,-0.006279,0.012841,0.003164,0.003163,0.002514
0.038000,-0.256391,0.034141,-1.131230,-0.006082,0.012911,0.003414,0.002838,-0.000080
0.038500,-0.242336,0.049361,-1.148490,-0.006104,0.013102,0.003396,0.002514,0.002190
0.039000,-0.224390,0.057455,-1.156467,-0.005887,0.013271,0.003126,0.002190,0.001866
0.039500,-0.216446,0.047537,-1.134189,-0.006228,0.012680,0.002839,0.002838,-0.001702
0.040000,-0.224306,0.064200,-1.132754,-0.006458,0.012968,0.003292,0.003487,0.004784
0.040500,-0.250405,0.058847,-1.131492,-0.006047,0.013362,0.003427,0.002514,0.001217
0.041000,-0.252654,0.071192,-1.116828,-0.006600,0.013183,0.002865,0.001866,0.000893
0.041500,-0.242435,0.077206,-1.139385,-0.006384,0.012845,0.003148,0.002190,0.002838
0.042000,-0.250503,0.051559,-1.142581,-0.006140,0.012955,0.003084,0.002838,-0.000729
0.042500,-0.258517,0.035228,-1.125292,-0.006217,0.013227,0.003219,0.002838,0.001541
0.043000,-0.240303,0.059777,-1.148588,-0.006286,0.012840,0.003396,0.002838,-0.000080
0.043500,-0.242441,0.061051,-1.135568,-0.005856,0.013039,0.003204,0.001866,-0.000404
0.044000,-0.216273,0.064075,-1.129598,-0.006229,0.012451,0.003207,0.001866,0.003163
0.044500,-0.224207,0.066536,-1.139017,-0.006773,0.012998,0.003487,0.003487,-0.001053
